Date (Local),Sonde ID,cutdown date (UTC+0),cutdown time (UTC+0)
18-05-2025,15312,19-05-2025,00:05:55
18-05-2025,9516,19-05-2025,00:13:25
18-05-2025,15297,19-05-2025,00:10:42
23-05-2025,15272,23-05-2025,22:48:00
23-05-2025,15294,23-05-2025,22:51:18
23-05-2025,15302,23-05-2025,22:54:10
25-05-2025,15299,25-05-2025,19:35:46
25-05-2025,15301,25-05-2025,19:41:35
25-05-2025,9518,25-05-2025,20:29:43
29-05-2025,15306,29-05-2025,21:56:19
05-06-2025,15326,05-06-2025,21:58:07
05-06-2025,15282,05-06-2025,22:06:54
05-06-2025,15338,05-06-2025,23:08:51
06-06-2025,15341,07-06-2025,00:05:17
12-06-2025,15346,12-06-2025,22:35:47
17-06-2025,15277,18-06-2025,00:38:08
17-06-2025,15283,18-06-2025,00:42:42
17-06-2025,15274,18-06-2025,00:44:03
20-06-2025,15344,21-06-2025,00:02:08
20-06-2025,15343,21-06-2025,00:03:05
20-06-2025,15360,21-06-2025,00:03:02
22-06-2025,15391,22-06-2025,23:24:43
27-06-2025,15395,28-06-2025,02:47:47
19-06-2025,15324,20-06-2025,02:02:02
19-06-2025,15350,20-06-2025,02:01:38
